x z velocity
34.79 2040.00 128.02
33.68 2040.30 131.08
33.70 2040.13 139.65
31.35 2040.17 122.66
31.89 2039.80 156.92
30.91 2039.91 139.23
33.90 2039.32 213.00
37.36 2040.35 113.66
37.49 2040.12 129.67
38.36 2040.39 130.77
38.46 2040.17 144.39
35.38 2040.29 105.29
35.94 2039.97 119.00
34.44 2039.66 155.69
38.70 2039.72 165.80
41.04 2040.55 111.27
41.16 2040.36 116.31
39.05 2040.47 133.00
39.63 2040.16 144.98
38.08 2039.85 160.76
42.99 2040.01 156.65
45.00 2040.60 161.68
45.07 2040.40 173.75
43.56 2040.25 148.97
46.75 2040.05 187.46
45.48 2040.35 174.10
42.68 2040.61 106.23
43.25 2040.24 146.81
41.66 2040.04 153.44
44.47 2039.96 196.84
1.52 2037.88 149.34
2.35 2037.49 206.10
1.91 2037.29 230.22
3.07 2037.44 238.53
4.67 2038.19 157.62
4.73 2037.91 218.74
3.73 2038.03 178.25
3.89 2037.84 193.01
2.19 2037.24 233.26
10.04 2038.12 237.13
1.87 2037.54 172.69
1.69 2037.81 151.93
9.08 2038.55 192.76
9.65 2038.71 169.07
9.08 2038.04 249.43
9.26 2038.53 192.73
6.25 2038.05 204.72
6.28 2037.38 473.69
5.38 2038.31 120.87
5.98 2038.01 197.32
4.98 2037.93 215.08
5.89 2037.40 448.28
9.89 2038.40 193.71
9.87 2037.75 297.05
11.49 2038.57 126.87
11.45 2038.28 192.90
14.22 2038.58 162.30
13.88 2038.07 219.96
20.59 2039.26 179.75
29.80 2039.30 253.44
17.72 2039.00 134.95
21.85 2039.80 166.20
20.06 2039.00 185.47
22.85 2039.82 145.86
15.88 2038.75 164.38
16.60 2038.88 153.10
27.18 2039.81 208.83
18.96 2038.57 235.96
21.48 2038.50 328.17
27.34 2039.93 209.16
27.16 2040.19 194.53
26.66 2039.94 185.90
25.51 2040.12 173.54
19.36 2039.36 131.00
25.95 2039.15 290.37
25.31 2039.17 285.02
24.89 2038.74 436.30
31.09 2039.65 173.19
29.30 2039.63 201.85
