x z velocity
32.83 2038.85 460.38
20.74 2038.20 390.25
16.66 2037.75 404.61
26.42 2038.54 484.18
27.30 2038.81 269.94
8.35 2037.07 773.68
25.46 2038.90 313.27
31.83 2038.19 504.83
30.34 2038.84 359.84
23.62 2038.54 418.07
31.18 2038.36 523.52
12.92 2038.15 297.38
11.05 2037.65 486.06
16.14 2038.96 150.45
27.48 2039.46 303.04
44.19 2040.05 181.43
47.06 2038.62 448.27
4.03 2037.26 356.77
5.59 2037.08 527.73
45.88 2039.85 195.49
44.86 2039.63 291.70
5.18 2037.29 499.33
7.00 2037.07 1008.42
14.26 2038.21 216.47
21.14 2039.31 161.54
38.81 2039.31 264.21
43.67 2039.56 378.01
32.40 2038.77 454.74
39.99 2039.59 216.72
36.28 2039.41 155.98
38.01 2039.13 285.84
24.05 2038.45 424.47
33.13 2038.55 484.48
4.43 2037.38 343.36
7.47 2036.73 1016.38
13.24 2038.04 276.08
27.61 2039.07 266.21
33.57 2038.70 493.81
32.00 2037.29 604.68
38.08 2038.01 429.07
39.58 2038.70 399.46
0.37 2035.78 2021.43
0.18 2036.58 2237.83
2.12 2036.61 738.01
39.31 2039.21 268.16
40.37 2039.27 238.76
3.81 2036.81 496.06
3.04 2036.67 484.14
28.01 2039.07 274.07
31.71 2037.73 577.36
32.16 2039.13 310.67
33.61 2039.11 232.47
25.95 2039.83 212.69
26.81 2039.83 194.79
29.37 2035.83 1130.70
37.07 2037.42 532.63
22.21 2038.76 262.18
30.18 2037.63 559.45
29.96 2038.86 348.79
31.83 2036.12 754.16
12.38 2037.65 445.13
30.58 2038.09 529.90
21.19 2038.02 385.51
26.29 2039.52 179.67
42.23 2039.30 340.61
46.19 2039.48 291.44
3.40 2036.88 470.86
2.32 2036.15 1391.84
44.65 2039.03 279.35
46.23 2038.73 429.57
22.65 2038.71 259.41
25.82 2039.42 201.23
4.78 2037.08 467.76
5.21 2036.12 757.92
24.86 2039.06 244.84
16.92 2037.34 681.41
21.54 2039.70 161.28
25.57 2039.74 216.27
0.55 2034.91 1972.87
0.68 2036.24 1980.96
30.94 2039.31 418.30
35.92 2038.45 458.31
21.86 2039.49 169.96
31.53 2038.49 503.31
11.45 2037.38 511.03
28.83 2038.97 381.99
26.00 2037.66 712.07
16.12 2038.27 217.55
33.09 2038.06 500.03
14.96 2038.29 216.12
35.10 2039.11 331.53
35.58 2038.98 270.51
8.85 2036.64 919.97
25.08 2037.36 873.18
10.31 2037.36 433.91
10.65 2037.62 472.42
6.45 2037.78 306.82
6.54 2036.96 1075.86
21.58 2039.14 178.32
17.66 2037.82 541.12
38.57 2038.31 401.23
41.18 2039.44 290.21
39.20 2038.16 432.40
43.33 2038.63 352.18
0.22 2035.37 1990.76
1.48 2035.90 1403.03
2.87 2036.17 1407.94
3.25 2034.20 1408.30
26.73 2038.16 500.01
31.14 2037.13 533.71
16.90 2038.14 409.43
31.12 2038.98 562.14
29.99 2039.60 277.13
18.84 2039.43 103.16
41.65 2039.02 360.76
40.66 2038.22 480.08
10.08 2036.83 861.27
3.50 2029.81 1918.41
1.09 2035.62 1792.91
1.98 2035.74 1357.28
15.51 2037.83 405.26
15.92 2037.65 409.62
15.37 2038.15 221.60
24.85 2039.79 170.81
20.23 2038.69 273.33
40.22 2038.75 413.20
5.70 2036.48 776.02
9.40 2036.96 827.24
14.89 2037.46 557.40
30.51 2037.00 506.08
0.74 2033.78 1720.82
6.66 2035.83 1067.71
19.12 2038.90 181.94
20.18 2039.21 160.70
31.25 2037.66 536.07
33.06 2036.77 715.97
0.72 2035.86 2021.25
1.07 2035.08 1985.90
32.51 2037.34 614.79
26.54 2038.96 267.35
20.38 2039.27 163.75
30.54 2039.28 411.27
30.57 2038.53 397.89
25.03 2040.01 126.40
29.22 2038.90 358.16
32.27 2038.30 498.87
21.39 2039.36 164.88
25.24 2038.63 453.35
24.32 2038.73 389.36
33.88 2038.27 465.74
6.27 2036.40 807.86
13.14 2036.69 1072.48
25.62 2037.16 732.57
34.92 2037.69 482.54
27.93 2039.74 241.38
28.40 2038.72 355.00
31.64 2036.85 565.35
38.16 2035.57 971.04
37.54 2038.44 424.22
26.68 2040.10 195.58
42.09 2037.63 461.99
42.79 2039.16 367.17
39.53 2037.58 532.10
47.49 2037.90 507.56
5.13 2035.38 965.67
31.02 2037.99 514.20
2.15 2035.05 1410.45
11.45 2035.85 1047.60
32.72 2036.00 785.32
29.58 2037.89 461.15
33.56 2037.82 494.28
21.98 2038.36 299.76
22.77 2038.19 539.84
12.47 2037.02 881.40
22.52 2036.68 1023.03
15.36 2037.41 584.64
15.77 2037.24 636.49
24.57 2037.12 871.74
22.32 2037.91 578.99
21.37 2037.22 928.98
23.31 2036.97 960.82
5.68 2034.88 1031.31
13.74 2037.19 710.15
41.48 2038.35 456.47
46.13 2034.87 821.46
24.13 2037.59 643.03
28.67 2036.58 876.08
27.49 2037.24 851.08
27.68 2037.87 538.90
8.02 2035.48 1152.44
15.80 2036.06 913.76
27.86 2036.49 931.71
26.54 2037.65 734.22
20.85 2036.92 856.88
24.39 2036.56 1113.38
1.51 2033.90 1706.31
3.89 2035.73 1144.85
36.55 2038.58 488.76
37.00 2038.20 454.65
4.12 2036.36 892.28
3.22 2035.64 1196.59
19.69 2036.66 779.52
20.26 2037.50 756.48
28.31 2038.08 604.35
28.93 2037.54 534.29
26.63 2036.51 956.36
25.93 2036.49 999.30
23.53 2037.53 618.03
23.74 2036.47 1097.86
22.68 2035.86 1304.86
24.73 2035.89 1723.59
17.49 2037.36 654.29
23.53 2035.81 1353.87
4.12 2034.31 1389.10
7.40 2036.05 1148.14
16.76 2036.79 776.01
17.84 2036.80 728.41
24.13 2035.37 1663.32
30.33 2036.15 1007.20
19.21 2037.72 651.57
17.38 2036.37 764.73
19.70 2037.32 648.02
25.50 2035.80 1810.52
14.52 2036.95 653.29
20.51 2036.36 766.52
22.25 2034.94 1526.28
31.15 2035.56 876.91
16.51 2035.22 1200.05
21.28 2034.83 1550.43
45.40 2038.39 354.01
43.97 2036.96 522.30
0.32 2034.38 1816.64
0.41 2032.91 1725.85
1.62 2034.67 1767.84
2.89 2033.42 1621.27
2.04 2033.30 1642.71
40.35 2037.59 542.09
42.16 2035.76 1077.31
26.34 2030.38 1745.90
