x z velocity
85.65 2034.86 209.49
84.57 2034.26 1363.35
85.96 2034.61 234.14
72.75 2034.51 544.08
79.13 2034.71 535.23
76.34 2035.74 624.23
87.86 2033.35 385.42
107.04 2033.89 166.91
110.42 2033.82 187.08
106.34 2034.65 130.63
106.63 2034.01 171.98
101.68 2034.89 383.31
102.62 2034.79 363.57
132.92 2032.74 305.45
140.69 2033.25 125.56
139.24 2033.31 159.59
139.29 2031.42 367.07
134.94 2034.47 156.24
135.93 2034.29 169.60
129.70 2034.11 197.70
136.67 2032.14 296.33
134.25 2034.14 156.14
134.58 2034.38 153.63
131.03 2035.13 116.78
130.64 2034.88 121.61
116.32 2033.93 265.16
117.74 2034.72 253.64
115.07 2034.22 256.01
115.68 2034.99 248.34
113.06 2034.73 244.83
113.50 2034.15 246.87
109.38 2034.29 121.52
109.60 2033.84 178.15
99.01 2035.15 383.38
99.29 2034.61 388.54
98.09 2034.07 422.69
102.59 2034.45 382.01
100.70 2034.32 392.21
101.34 2034.72 382.30
97.42 2034.61 394.65
98.01 2034.93 385.57
94.36 2035.17 357.31
94.70 2034.68 375.72
86.86 2032.98 505.78
84.89 2034.02 809.88
78.59 2035.22 298.31
83.85 2034.22 2737.21
120.97 2035.48 269.44
121.86 2034.74 281.26
127.23 2034.06 255.67
126.58 2034.80 215.07
123.60 2034.68 260.69
124.32 2035.59 239.11
119.38 2035.15 257.67
119.64 2034.92 261.93
120.64 2034.74 282.04
121.91 2035.26 270.63
117.03 2035.17 249.55
117.38 2034.75 253.42
129.29 2034.87 156.56
132.25 2034.44 134.27
128.21 2034.48 189.99
129.63 2035.35 139.92
125.68 2035.59 216.81
125.95 2035.00 223.78
41.37 2038.79 682.66
42.47 2038.00 688.06
39.34 2037.91 595.46
46.56 2038.42 809.73
47.35 2038.80 680.76
47.51 2038.42 722.94
54.59 2038.01 735.69
54.00 2038.89 421.11
51.01 2039.02 540.18
51.31 2038.35 637.49
49.23 2038.69 516.14
49.27 2038.21 682.50
45.90 2038.00 842.66
63.56 2036.79 594.58
33.34 2039.34 175.25
34.36 2038.38 534.01
31.35 2038.46 364.58
40.60 2038.37 659.92
29.68 2039.97 175.44
29.94 2039.42 184.96
38.01 2038.86 234.97
38.23 2038.42 340.69
40.42 2037.51 663.17
39.07 2038.38 372.38
66.61 2036.61 639.37
67.21 2037.00 513.36
66.85 2036.99 521.10
67.86 2037.09 449.14
64.75 2036.98 503.02
69.85 2033.17 812.09
63.27 2038.04 289.30
64.17 2037.11 522.20
55.27 2036.76 1091.96
62.44 2037.34 624.76
60.01 2038.40 950.80
60.20 2037.99 649.35
83.26 2034.67 3995.19
78.01 2034.87 479.28
81.31 2034.85 3201.46
76.18 2035.14 572.51
69.64 2037.01 457.70
69.10 2036.13 610.98
53.43 2038.82 603.04
53.46 2038.07 881.49
51.73 2038.24 663.70
47.72 2037.41 802.74
19.67 2039.80 264.09
19.29 2040.66 220.14
16.58 2040.27 242.48
17.26 2040.58 221.28
14.25 2040.06 204.79
14.69 2040.88 182.99
8.98 2041.31 185.65
29.58 2038.44 527.66
24.77 2040.25 113.39
15.21 2039.94 253.27
106.02 2034.39 157.06
108.08 2033.86 163.54
106.22 2033.94 181.63
102.02 2034.72 384.55
103.06 2033.92 385.41
99.82 2033.91 423.45
105.95 2033.50 308.95
131.68 2035.13 114.41
3.28 2041.73 222.36
131.91 2034.57 131.65
115.48 2034.35 255.11
116.07 2034.79 247.49
112.79 2034.42 228.89
113.10 2034.01 245.13
108.57 2033.86 161.56
117.52 2033.88 269.46
98.69 2034.92 385.29
98.89 2034.54 391.49
95.83 2034.23 399.57
93.26 2034.34 367.75
94.08 2034.89 351.40
95.26 2034.19 399.80
91.12 2032.96 546.89
94.85 2033.72 418.27
85.75 2032.23 482.54
66.62 2035.51 1157.24
83.38 2034.17 2896.68
85.99 2033.41 491.57
76.60 2035.19 571.37
90.15 2029.03 941.01
73.66 2036.07 487.88
74.61 2034.23 595.03
121.26 2035.26 270.58
121.11 2034.79 281.63
124.05 2034.89 255.84
124.68 2035.25 234.81
116.75 2034.89 251.20
117.95 2034.33 262.30
115.92 2034.33 254.98
126.14 2033.63 294.84
132.41 2034.01 188.42
131.96 2034.94 115.89
127.03 2034.65 214.02
135.87 2033.01 223.73
128.94 2034.82 159.52
129.91 2035.03 131.39
125.37 2035.26 225.40
126.24 2034.66 217.55
122.33 2034.59 280.22
126.04 2034.28 263.63
41.57 2038.45 680.30
41.38 2037.94 706.60
42.05 2036.75 961.42
53.72 2037.61 909.90
50.67 2038.72 523.40
50.89 2038.24 620.44
33.48 2038.95 219.44
33.27 2038.64 245.98
29.39 2039.77 203.43
29.34 2038.96 462.62
25.75 2039.35 219.35
33.93 2037.95 529.61
34.05 2037.20 1823.71
41.93 2037.58 727.57
72.98 2036.29 478.39
69.89 2036.74 444.01
71.95 2035.77 516.37
67.56 2036.78 503.18
63.39 2037.68 424.06
63.11 2037.21 604.50
59.16 2038.00 696.71
59.98 2037.57 840.20
81.47 2034.45 3786.27
81.71 2033.44 2042.26
72.64 2036.14 474.38
70.55 2034.87 583.16
69.31 2036.85 466.42
67.52 2036.21 719.33
85.24 2034.21 596.58
95.31 2031.57 638.67
53.66 2038.46 639.64
52.89 2038.14 864.49
15.09 2040.43 213.45
19.38 2038.85 385.09
11.33 2039.58 203.49
15.82 2039.79 259.44
9.30 2041.08 177.09
13.40 2039.55 210.99
11.89 2039.68 197.54
7.65 2041.41 208.45
10.47 2040.11 189.84
18.88 2040.27 238.14
18.10 2040.03 266.51
24.33 2038.33 466.33
27.57 2039.36 404.08
26.33 2039.13 255.22
27.72 2038.81 744.01
91.18 2034.22 355.89
88.37 2033.63 390.68
83.98 2033.05 698.02
86.21 2033.87 365.35
82.28 2035.05 3998.15
75.30 2034.64 590.91
87.46 2033.85 327.84
82.97 2033.64 2138.89
81.16 2030.91 588.78
82.34 2033.79 2233.59
104.54 2033.51 362.80
108.79 2033.39 213.95
102.21 2034.36 389.37
102.02 2033.83 411.28
141.37 2031.92 235.21
141.01 2033.34 120.57
135.42 2033.87 184.37
135.31 2033.36 222.72
131.37 2034.93 116.54
131.28 2034.17 155.52
127.88 2033.95 247.61
134.10 2033.52 230.75
113.93 2034.11 248.54
114.05 2033.09 285.54
114.24 2033.71 266.47
112.97 2033.51 263.14
95.08 2033.09 494.69
101.20 2034.30 393.08
94.33 2034.55 375.61
94.27 2034.01 413.14
65.48 2034.93 1185.29
77.62 2035.47 503.94
117.73 2033.09 312.72
124.49 2034.78 256.23
123.54 2034.00 315.87
124.67 2034.20 289.30
117.00 2034.60 253.95
116.94 2034.12 267.23
129.15 2033.88 203.33
129.65 2034.69 153.66
125.55 2034.89 228.53
125.21 2034.07 286.02
49.79 2038.20 672.09
46.33 2037.66 882.30
29.58 2039.37 203.07
28.76 2039.07 517.59
76.99 2035.04 565.87
60.18 2035.65 1336.01
68.62 2036.28 634.69
56.90 2033.07 1049.76
14.38 2040.48 200.51
14.71 2039.64 261.49
9.26 2040.65 224.81
8.00 2039.68 325.29
8.60 2040.74 229.57
5.64 2041.63 227.68
9.60 2040.42 224.47
24.98 2039.92 133.00
25.23 2039.10 211.77
90.35 2034.22 341.29
86.63 2034.03 338.21
78.70 2034.59 527.07
77.76 2033.16 741.92
139.35 2032.69 223.41
141.43 2032.60 160.50
140.42 2029.80 867.22
5.98 2040.26 293.00
131.54 2034.54 131.42
130.71 2034.32 157.00
113.42 2032.96 283.69
121.75 2033.47 317.14
10.21 2038.82 494.91
21.12 2038.85 401.15
8.91 2040.49 229.57
5.96 2041.29 223.58
8.78 2040.04 287.08
1.36 2041.97 167.72
10.07 2039.65 269.20
6.31 2041.47 222.67
7.31 2041.25 213.74
23.95 2039.05 225.66
32.20 2037.47 1814.57
76.63 2035.55 608.25
102.54 2033.49 420.34
4.24 2040.96 278.88
9.11 2039.66 313.16
3.89 2041.63 231.41
8.21 2038.99 520.53
8.89 2038.99 525.03
7.94 2040.72 239.44
7.22 2040.80 245.11
6.64 2041.24 222.25
6.78 2040.76 247.86
140.21 2032.93 165.90
141.45 2032.99 120.61
137.87 2032.80 244.57
140.84 2030.88 411.63
2.99 2042.01 222.39
3.16 2041.34 274.99
5.25 2041.37 233.05
5.31 2040.89 262.42
0.41 2040.86 273.31
6.90 2039.67 315.44
8.27 2040.51 234.07
5.80 2040.84 261.96
7.53 2040.51 244.81
8.36 2040.06 291.73
140.87 2032.15 230.31
140.63 2032.88 161.75
141.76 2032.23 207.20
2.65 2041.70 226.54
3.42 2040.96 289.50
2.57 2040.73 390.61
5.31 2039.07 582.00
1.77 2041.30 215.53
1.32 2041.47 194.48
6.49 2040.21 287.00
7.50 2039.92 316.09
140.93 2032.59 164.46
141.78 2033.11 116.10
2.76 2041.27 276.25
1.98 2040.70 392.34
140.33 2032.07 237.24
7.63 2038.34 619.24
0.22 2042.03 142.03
0.74 2041.32 191.44
140.05 2031.44 364.23
141.62 2031.27 380.10
1.56 2040.12 415.81
0.55 2041.82 149.73
3.04 2040.48 374.70
9.51 2038.37 638.33
12.82 2039.66 203.49
67.55 2034.52 923.06
72.66 2035.68 449.57
103.97 2033.42 374.50
102.75 2032.73 546.08
110.67 2033.31 259.91
111.28 2033.28 263.81
44.29 2037.62 635.96
46.76 2038.01 854.63
31.88 2038.51 349.73
32.79 2038.64 240.52
39.91 2037.92 612.24
40.87 2037.89 693.98
80.31 2034.42 908.14
93.42 2033.19 481.87
56.38 2037.73 872.86
60.40 2036.98 746.65
21.68 2039.30 328.01
22.29 2039.13 284.62
77.70 2034.46 583.90
90.36 2033.03 542.24
100.38 2033.81 424.33
101.48 2033.78 408.98
48.34 2037.70 801.51
47.26 2038.00 841.94
75.30 2035.63 518.43
78.31 2035.45 325.99
107.29 2033.35 235.45
106.19 2032.93 361.89
38.31 2037.34 687.28
59.13 2037.09 1596.98
32.64 2038.22 417.70
36.75 2037.43 665.51
64.95 2036.38 938.13
89.92 2032.42 597.62
51.63 2037.20 813.82
68.82 2034.13 789.98
82.04 2031.93 553.05
83.24 2033.01 740.06
52.88 2037.05 873.50
48.88 2037.60 827.02
17.17 2039.70 298.10
16.85 2039.00 383.63
82.90 2032.11 544.53
79.24 2035.09 288.78
100.91 2033.35 430.41
109.67 2032.77 356.37
131.64 2032.62 312.52
138.53 2030.74 416.08
79.13 2033.93 701.49
99.81 2031.93 633.88
87.47 2032.75 504.92
87.79 2031.93 689.70
119.66 2034.35 278.89
120.25 2034.20 283.12
120.58 2033.63 311.23
131.84 2030.29 929.51
128.92 2033.28 308.89
132.22 2032.94 308.77
27.24 2038.11 637.32
