x z velocity
47.74 2032.37 304.97
59.33 2032.97 191.00
59.47 2032.50 200.40
57.31 2033.19 198.48
57.28 2032.81 203.74
54.03 2033.05 232.01
55.12 2032.22 234.98
51.94 2032.09 241.98
57.46 2030.98 264.85
64.73 2033.06 152.72
64.99 2032.57 152.91
67.41 2032.77 117.23
68.02 2033.18 102.11
60.71 2033.10 193.84
61.77 2032.34 203.15
58.68 2031.78 210.40
69.29 2032.06 120.06
68.70 2033.22 101.03
69.77 2032.46 118.07
67.84 2032.71 116.17
72.69 2032.15 189.00
76.06 2032.95 253.51
76.69 2033.35 397.85
73.37 2033.21 128.24
73.63 2032.73 181.82
71.45 2031.91 205.28
73.83 2031.48 219.47
77.39 2033.41 413.59
78.55 2032.72 233.29
76.51 2032.88 261.29
80.61 2032.17 217.80
83.30 2033.61 209.50
83.41 2033.17 217.90
81.41 2033.57 216.49
81.63 2033.21 219.67
84.70 2033.72 198.19
85.78 2032.98 207.90
83.91 2033.21 217.84
88.71 2032.78 178.50
92.15 2033.71 117.56
92.73 2034.19 101.55
89.39 2033.89 125.68
89.66 2033.38 139.02
87.48 2032.54 223.65
89.88 2032.01 247.00
93.42 2034.29 101.28
94.63 2033.58 153.22
92.60 2033.67 116.18
101.54 2034.07 255.63
103.99 2034.65 233.88
103.36 2035.41 266.63
100.84 2034.54 244.91
101.39 2034.98 246.18
98.02 2034.67 126.49
98.21 2034.25 167.85
101.27 2033.35 244.60
103.22 2034.11 241.27
110.20 2035.74 208.60
110.75 2036.19 186.24
107.35 2035.89 212.65
107.37 2035.53 216.01
102.80 2035.26 258.28
102.91 2034.53 260.59
101.28 2034.50 246.30
104.71 2033.67 237.56
117.38 2037.11 103.64
117.56 2036.67 121.24
115.46 2036.88 111.75
115.73 2036.51 119.66
111.43 2036.32 175.04
112.65 2035.72 179.55
110.64 2035.73 205.53
114.79 2035.37 191.72
118.77 2037.41 125.54
119.90 2036.87 188.31
118.05 2036.78 125.72
124.36 2037.08 228.11
124.86 2038.40 283.90
124.55 2037.62 255.98
130.67 2038.42 241.57
130.03 2039.26 334.90
127.40 2038.32 309.12
128.02 2038.77 333.39
135.35 2040.06 121.31
135.37 2039.71 131.41
135.74 2039.65 129.15
136.34 2039.09 146.24
132.84 2039.61 214.20
139.35 2040.55 101.09
132.49 2038.77 212.39
129.47 2039.09 329.83
129.56 2038.31 262.63
126.08 2037.67 256.62
134.14 2037.46 243.14
17.42 2032.82 147.81
17.39 2032.01 193.66
14.72 2031.77 208.34
26.71 2030.48 225.23
23.35 2032.85 123.23
23.50 2032.36 202.37
25.44 2031.54 184.56
29.89 2031.21 213.29
21.42 2032.83 103.77
21.68 2032.39 127.84
11.38 2032.61 288.67
12.45 2032.00 239.23
8.79 2030.36 269.22
15.15 2031.78 207.89
6.78 2032.31 402.32
7.99 2031.65 279.94
6.08 2031.76 260.38
11.97 2031.55 261.37
7.86 2030.35 268.67
10.88 2031.72 274.39
31.09 2032.76 235.83
25.70 2030.63 223.71
29.46 2031.87 211.88
31.97 2031.26 216.75
40.22 2032.12 204.04
45.93 2032.64 143.90
45.31 2033.03 104.18
45.43 2032.61 139.04
45.22 2032.11 195.49
53.01 2031.57 280.02
43.31 2033.26 110.48
43.30 2032.96 118.97
37.46 2031.85 221.09
40.80 2032.13 199.24
34.26 2032.64 204.26
34.13 2031.98 223.93
50.93 2031.54 260.74
53.24 2032.56 241.10
57.30 2031.78 220.53
59.96 2032.56 200.92
54.23 2032.66 235.37
54.02 2032.03 264.32
63.25 2031.95 202.67
68.17 2032.26 120.14
65.86 2031.41 197.93
64.74 2032.02 170.99
60.92 2032.74 214.57
60.77 2032.17 217.26
68.91 2032.88 102.74
68.78 2032.40 117.95
74.49 2032.78 201.34
74.54 2031.64 224.52
69.32 2031.30 178.96
78.10 2032.20 236.77
77.62 2033.06 305.43
77.52 2032.49 250.32
80.09 2032.47 220.37
84.19 2032.71 213.80
84.90 2033.38 201.91
84.73 2032.82 208.78
90.54 2033.45 137.26
90.65 2032.14 256.57
85.39 2031.77 249.78
94.20 2033.11 131.70
93.68 2033.95 104.18
93.61 2033.42 122.69
99.08 2034.16 208.87
99.04 2033.40 250.42
94.36 2032.32 309.46
97.99 2033.80 155.29
108.53 2035.12 222.84
108.68 2033.62 251.28
107.47 2034.52 224.93
109.07 2034.51 231.39
103.06 2034.94 267.20
102.36 2034.52 262.86
114.23 2035.64 188.90
118.44 2036.35 169.49
111.69 2035.99 173.62
111.63 2035.38 200.76
119.01 2037.10 144.70
118.95 2036.55 201.54
122.31 2036.88 243.89
128.73 2037.84 263.23
126.71 2037.64 256.91
129.87 2037.86 240.99
133.87 2039.36 213.58
138.36 2040.60 101.30
140.65 2039.67 116.15
141.78 2040.95 100.71
136.72 2039.43 129.34
