x z velocity
60.51 2062.96 206.69
64.54 2062.39 181.96
39.49 2063.26 247.34
44.72 2062.82 372.27
45.12 2064.63 161.02
45.54 2063.82 349.54
50.86 2064.85 156.75
51.81 2064.42 194.53
46.83 2064.07 292.04
48.81 2064.22 251.40
13.18 2066.55 287.30
13.44 2066.11 424.80
17.41 2066.68 267.29
17.21 2066.15 579.69
11.02 2066.80 132.47
11.32 2066.02 394.77
11.71 2064.92 465.65
91.85 2058.55 415.87
93.30 2061.09 138.88
88.88 2060.83 262.16
70.28 2062.62 130.88
70.50 2061.78 278.02
91.86 2060.60 165.54
93.59 2060.49 150.49
89.62 2061.89 103.24
89.26 2061.44 138.03
88.61 2061.55 138.69
93.01 2061.32 131.48
89.85 2061.63 104.49
88.35 2060.70 275.98
88.91 2061.30 150.44
66.80 2062.91 122.62
67.62 2062.42 209.38
60.17 2063.73 116.60
61.00 2063.26 134.90
44.18 2063.50 363.85
56.88 2063.16 230.11
46.26 2062.59 326.48
45.51 2063.08 348.95
10.06 2065.89 602.13
19.37 2065.84 426.52
57.93 2063.37 209.93
65.60 2061.47 431.82
64.72 2061.57 407.60
2.66 2067.09 107.38
3.34 2066.75 123.43
92.89 2060.62 151.15
2.27 2066.06 230.71
92.18 2059.99 198.56
1.00 2067.15 103.51
4.44 2066.35 205.01
3.90 2066.29 195.59
3.65 2065.13 483.02
1.68 2067.29 103.77
0.33 2066.14 157.48
3.06 2066.03 211.83
2.66 2066.68 122.97
3.03 2066.51 125.27
1.98 2065.28 426.91
2.01 2067.09 105.16
1.35 2066.97 104.27
1.54 2066.57 117.37
1.98 2066.70 118.65
2.29 2066.48 124.45
0.81 2065.82 191.27
0.55 2066.81 103.77
3.55 2065.86 216.47
2.67 2065.79 237.27
2.53 2065.27 454.83
1.44 2066.10 207.38
1.86 2065.81 233.79
0.37 2064.44 396.12
1.60 2064.86 377.27
2.64 2063.93 454.46
6.04 2065.65 342.94
30.59 2063.47 373.46
32.49 2064.33 289.63
74.32 2060.96 307.55
76.95 2061.82 248.20
30.34 2063.94 408.92
33.15 2063.83 268.90
37.18 2063.91 184.85
38.12 2062.99 238.53
35.81 2063.47 290.01
37.25 2062.90 288.06
12.32 2066.16 305.42
12.53 2065.65 398.13
31.77 2063.99 303.57
34.08 2063.71 293.30
71.73 2061.14 260.22
72.91 2061.70 251.54
55.85 2063.62 252.92
56.45 2063.60 248.20
62.47 2062.73 157.12
63.50 2062.71 184.79
22.14 2064.53 550.82
28.04 2063.17 521.27
17.75 2065.85 451.13
23.17 2064.33 493.33
4.41 2065.01 466.90
10.49 2065.25 568.16
69.59 2060.88 236.54
77.44 2059.95 385.18
77.23 2060.76 268.22
86.94 2060.74 328.70
63.01 2062.31 224.37
61.89 2061.26 334.57
13.30 2065.01 477.76
18.02 2065.09 445.83
90.25 2060.86 145.59
93.28 2059.59 196.58
91.16 2059.69 272.73
90.46 2060.39 193.04
28.56 2064.19 388.68
36.70 2062.80 288.81
72.53 2061.03 261.60
77.45 2061.97 238.87
75.05 2061.01 305.25
79.38 2061.60 392.05
32.65 2062.87 335.01
31.96 2063.46 357.77
37.91 2063.47 196.66
39.97 2062.50 335.86
36.39 2063.38 273.60
33.35 2063.31 310.70
31.26 2063.12 432.83
38.62 2062.85 238.09
13.15 2065.62 404.00
14.47 2065.54 507.17
31.08 2063.57 366.36
34.61 2063.68 295.11
32.42 2063.40 350.89
34.83 2063.10 344.53
54.25 2063.67 172.19
59.07 2062.62 321.35
54.62 2062.97 432.79
55.53 2063.02 422.89
59.74 2061.92 345.46
61.35 2062.00 341.72
26.78 2064.67 318.83
27.61 2063.80 371.51
28.32 2061.47 462.33
31.12 2061.02 441.44
24.96 2065.15 279.86
26.95 2063.93 367.74
91.01 2060.30 190.56
91.80 2059.46 259.05
89.50 2059.84 258.30
90.55 2059.28 277.49
29.58 2062.55 482.67
33.82 2063.23 306.34
37.11 2061.63 431.40
41.46 2062.24 374.99
35.49 2062.25 460.70
37.55 2062.50 311.61
30.24 2062.54 464.57
32.35 2062.38 359.56
33.12 2062.83 329.47
33.97 2062.51 364.50
31.68 2063.04 427.88
35.42 2062.95 357.67
31.84 2062.49 366.60
38.96 2061.90 386.88
16.22 2064.48 526.86
29.24 2061.60 454.69
40.70 2062.68 347.91
52.38 2063.07 275.48
7.20 2064.75 574.00
6.84 2061.79 887.59
80.19 2060.21 442.39
90.27 2057.67 466.46
50.20 2064.08 268.69
52.50 2062.04 359.17
47.07 2063.21 304.45
50.19 2063.38 279.92
1.77 2064.00 442.26
5.97 2063.31 611.78
11.21 2065.38 561.61
15.96 2065.57 594.89
12.30 2065.12 463.51
20.52 2064.44 531.06
34.46 2062.41 373.61
36.01 2061.82 454.83
56.82 2062.41 357.28
68.13 2060.22 348.97
90.10 2059.71 253.55
90.90 2058.45 445.26
88.16 2060.09 322.84
92.77 2057.97 387.03
27.72 2062.40 422.66
32.56 2061.80 385.79
38.64 2062.32 387.86
37.94 2062.60 316.76
36.57 2062.07 449.25
38.19 2062.20 381.58
33.34 2060.76 592.13
38.75 2061.32 381.46
37.54 2061.95 421.86
37.99 2061.79 415.54
30.98 2062.78 452.42
31.04 2062.29 389.76
30.54 2062.98 471.52
30.58 2062.03 409.57
31.48 2062.08 381.06
32.17 2061.25 426.72
36.55 2060.25 492.62
31.60 2061.42 427.09
30.54 2061.42 444.51
26.76 2062.42 429.67
50.87 2062.96 348.36
56.08 2062.24 345.80
88.84 2059.50 286.63
92.21 2055.92 700.31
34.83 2061.89 463.74
34.98 2060.98 489.96
37.29 2060.77 439.41
38.22 2061.32 385.78
32.56 2060.45 606.33
33.25 2061.70 392.59
35.81 2060.86 484.89
39.15 2060.66 387.83
37.95 2060.63 423.99
38.61 2060.12 398.77
34.41 2059.00 684.93
51.46 2061.49 433.51
75.61 2059.62 479.77
70.37 2061.04 236.34
14.27 2063.96 609.37
27.73 2060.40 623.63
60.88 2056.72 805.06
80.09 2061.18 360.83
78.43 2060.88 278.91
83.19 2060.52 283.23
57.21 2060.05 442.08
65.07 2057.55 679.58
25.42 2064.59 310.49
25.47 2063.70 359.64
24.74 2062.89 436.57
26.42 2063.32 368.34
42.97 2062.75 370.19
