x z velocity
75.83 -12.41 1100.40
62.47 -14.27 1363.48
59.73 -10.39 1236.49
88.73 -16.95 1294.37
56.87 -11.40 1203.11
83.56 -15.47 1309.24
90.06 -16.13 1274.07
50.22 -17.63 1477.08
92.56 -15.75 1263.11
86.55 -14.56 1223.03
92.30 -17.83 1289.90
21.71 -5.38 1449.39
49.97 -12.61 1206.62
58.07 -10.10 1241.95
50.81 -11.09 1148.13
47.81 -15.72 1405.10
73.55 -23.55 1575.91
52.58 -8.58 1125.19
49.79 -9.56 1095.53
41.19 -11.99 1316.18
43.83 -11.14 1173.57
39.79 -12.44 1326.77
39.87 -14.12 1395.90
40.75 -19.37 1686.99
45.12 -14.01 1336.22
38.16 -11.44 1335.12
41.49 -14.62 1391.75
32.05 -17.15 1609.81
36.38 -16.10 1534.77
45.26 -20.83 1731.28
41.89 -16.21 1469.85
43.50 -16.91 1463.19
44.88 -15.97 1443.11
37.54 -17.42 1535.37
43.73 -18.73 1631.56
32.02 -15.05 1576.29
46.23 -21.52 1731.13
35.89 -21.54 1638.65
46.64 -18.59 1593.51
40.48 -17.38 1511.20
6.56 -12.80 1360.96
69.91 -10.18 980.24
46.57 -16.92 1439.25
38.84 -15.00 1431.47
39.05 -16.66 1518.17
2.54 -13.32 1347.67
44.80 -22.76 1699.50
